cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator,gov_level_sort_order,mode_sort_order,user_other_grp
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2022,167000000,General,146636578,Actual,113.887,0,6,Other
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2010,190000000,General,211685013,Actual,89.756,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2011,105000000,General,113893981,Actual,92.191,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2012,99000000,General,106515751,Actual,92.944,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2013,168000000,General,178052865,Actual,94.354,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2014,158000000,General,164246286,Actual,96.197,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2015,141000000,General,145302404,Actual,97.039,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2016,148000000,General,151026573,Actual,97.996,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2017,122000000,General,122000000,Actual,100,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2018,241000000,General,234060118,Actual,102.965,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2019,132000000,General,126080520,Actual,104.695,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2020,136000000,General,129435054,Actual,105.072,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2021,183000000,General,168965708,Actual,108.306,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2022,93000000,General,81659891,Actual,113.887,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2010,86000000,General,95815322,Actual,89.756,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2011,96000000,General,104131640,Actual,92.191,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2012,97000000,General,104363918,Actual,92.944,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2013,101000000,General,107043687,Actual,94.354,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2014,97000000,General,100834745,Actual,96.197,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2015,99000000,General,102020837,Actual,97.039,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2016,104000000,General,106126781,Actual,97.996,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2017,106000000,General,106000000,Actual,100,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2018,103000000,General,100033992,Actual,102.965,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2019,105000000,General,100291322,Actual,104.695,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2020,111000000,General,105641846,Actual,105.072,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2021,111000000,General,102487397,Actual,108.306,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2022,122000000,General,107123728,Actual,113.887,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2010,97000000,General,108070770,Actual,89.756,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2011,129000000,General,139926891,Actual,92.191,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2012,101000000,General,108667585,Actual,92.944,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2013,104000000,General,110223202,Actual,94.354,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2014,71000000,General,73806875,Actual,96.197,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2015,118000000,General,121600594,Actual,97.039,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2016,107000000,General,109188130,Actual,97.996,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2017,115000000,General,115000000,Actual,100,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2018,151000000,General,146651775,Actual,102.965,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2019,129000000,General,123215053,Actual,104.695,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2020,140000000,General,133241967,Actual,105.072,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2021,190000000,General,175428877,Actual,108.306,0,6,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2022,167000000,General,146636578,Actual,113.887,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2010,0,General,0,Actual,89.756,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2011,0,General,0,Actual,92.191,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2012,0,General,0,Actual,92.944,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2013,0,General,0,Actual,94.354,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2014,0,General,0,Actual,96.197,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2015,0,General,0,Actual,97.039,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2016,0,General,0,Actual,97.996,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2017,3000000,General,3000000,Actual,100,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2018,131000000,General,127227699,Actual,102.965,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2019,0,General,0,Actual,104.695,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2020,0,General,0,Actual,105.072,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2021,0,General,0,Actual,108.306,0,6,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2022,0,General,0,Actual,113.887,0,6,-
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2010,12795100000,Highways,14255425821,Actual,89.756,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2011,8703800000,Highways,9441051730,Actual,92.191,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2012,4354100000,Highways,4684648821,Actual,92.944,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2013,2187400000,Highways,2318290692,Actual,94.354,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2014,1589500000,Highways,1652338431,Actual,96.197,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2015,948100000,Highways,977029854,Actual,97.039,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2016,634200000,Highways,647169272,Actual,97.996,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2017,571500000,Highways,571500000,Actual,100,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2018,1350200000,Highways,1311319380,Actual,102.965,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2019,1536900000,Highways,1467978413,Actual,104.695,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2020,2019100000,Highways,1921634689,Actual,105.072,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2021,3987800000,Highways,3681975144,Actual,108.306,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2022,5974000000,Highways,5245550414,Actual,113.887,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2010,2057600000,Highways,2292437274,Actual,89.756,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2011,1919700000,Highways,2082307384,Actual,92.191,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2012,1701700000,Highways,1830887416,Actual,92.944,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2013,1774800000,Highways,1881001335,Actual,94.354,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2014,1608300000,Highways,1671881660,Actual,96.197,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2015,1557300000,Highways,1604818681,Actual,97.039,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2016,3930500000,Highways,4010877995,Actual,97.996,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2017,2684400000,Highways,2684400000,Actual,100,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2018,3131400000,Highways,3041227602,Actual,102.965,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2019,5663000000,Highways,5409045322,Actual,104.695,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2020,5633400000,Highways,5361466423,Actual,105.072,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2021,6828700000,Highways,6305006186,Actual,108.306,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2022,5347800000,Highways,4695707148,Actual,113.887,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2010,624650000,Highways,695942333,Actual,89.756,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2011,386430000,Highways,419162391,Actual,92.191,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2012,407310000,Highways,438231623,Actual,92.944,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2013,372000000,Highways,394259915,Actual,94.354,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2014,427510000,Highways,444410948,Actual,96.197,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2015,331170000,Highways,341275157,Actual,97.039,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2016,105600000,Highways,107759500,Actual,97.996,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2017,70000000,Highways,70000000,Actual,100,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2018,74550000,Highways,72403244,Actual,102.965,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2019,50100000,Highways,47853288,Actual,104.695,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2020,106900000,Highways,101739759,Actual,105.072,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2021,88400000,Highways,81620594,Actual,108.306,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2022,66200000,Highways,58127793,Actual,113.887,0,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2010,7229284000,Highways,8325023607,Actual,86.838,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2011,6215102000,Highways,6829332132,Actual,91.006,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2012,6657531000,Highways,7012430087,Actual,94.939,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2013,7324978000,Highways,7531568936,Actual,97.257,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2014,9644053000,Highways,9797780171,Actual,98.431,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2015,6866729000,Highways,7058145917,Actual,97.288,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2016,6911912000,Highways,7119443786,Actual,97.085,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2017,5586850000,Highways,5586850000,Actual,100,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2018,8079823000,Highways,7712993051,Actual,104.756,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2019,7864963000,Highways,7392299378,Actual,106.394,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2020,7066883000,Highways,6612906939,Actual,106.865,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2021,8249462000,Highways,7041253339,Actual,117.159,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,2022,8735886000,Highways,6749923506,Actual,129.422,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2010,6648010000,Highways,7655646146,Actual,86.838,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2011,8668791000,Highways,9525515900,Actual,91.006,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2012,8919644000,Highways,9395131611,Actual,94.939,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2013,9101728000,Highways,9358429727,Actual,97.257,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2014,10328694000,Highways,10493334417,Actual,98.431,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2015,10926206000,Highways,11230784886,Actual,97.288,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2016,12239772000,Highways,12607274038,Actual,97.085,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2017,12007459000,Highways,12007459000,Actual,100,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2018,12675407000,Highways,12099934133,Actual,104.756,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2019,19216420000,Highways,18061563622,Actual,106.394,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2020,21122650000,Highways,19765732466,Actual,106.865,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2021,20702327000,Highways,17670283120,Actual,117.159,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2022,22448163000,Highways,17344935946,Actual,129.422,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2010,8249924000,Highways,9500361593,Actual,86.838,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2011,8528336000,Highways,9371179922,Actual,91.006,1,0,Other
Expenditure,-,-,Total,Non-Capital,Total,-,2012,40432956384,Transit,42590932779,Actual,,9999,1,-
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2012,11577371000,Highways,12194536492,Actual,94.939,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2013,12274907000,Highways,12621103879,Actual,97.257,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2014,10132398000,Highways,10293909439,Actual,98.431,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2015,12143793000,Highways,12482313338,Actual,97.288,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2016,12490951000,Highways,12865994747,Actual,97.085,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2017,10574845000,Highways,10574845000,Actual,100,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2018,12882618000,Highways,12297737600,Actual,104.756,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2019,12585344000,Highways,11828997876,Actual,106.394,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2020,12198641000,Highways,11415001170,Actual,106.865,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2021,13463774000,Highways,11491881972,Actual,117.159,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,2022,16034635000,Highways,12389419882,Actual,129.422,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2010,25101695000,Highways,28906348603,Actual,86.838,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2011,31434441000,Highways,34541064325,Actual,91.006,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2012,26859876000,Highways,28291719946,Actual,94.939,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2013,37490132000,Highways,38547489641,Actual,97.257,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2014,39216120000,Highways,39841228881,Actual,98.431,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2015,18324461000,Highways,18835273621,Actual,97.288,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2016,27969906000,Highways,28809709018,Actual,97.085,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2017,26870521000,Highways,26870521000,Actual,100,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2018,25167295000,Highways,24024681164,Actual,104.756,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2019,25233012000,Highways,23716574243,Actual,106.394,1,0,Other
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Local general funds,2020,25643345000,Highways,23996018341,Actual,106.865,1,0,Other
